estatus,id,Fecha
0,1,7/9/2023 11:15:28
0,2,7/9/2023 11:15:28
0,3,7/9/2023 11:15:28
0,4,7/9/2023 11:15:28
0,5,7/9/2023 11:15:28
1,6,7/9/2023 11:15:28
0,7,7/9/2023 11:15:28
1,8,7/9/2023 11:15:28
0,9,7/9/2023 11:15:28
0,10,7/9/2023 11:15:28
0,11,7/9/2023 11:15:28
1,12,7/9/2023 11:15:28
1,13,7/9/2023 11:15:28
1,14,7/9/2023 11:15:28
1,15,7/9/2023 11:15:28
1,16,7/9/2023 11:15:28
1,17,7/9/2023 11:15:28
1,18,7/9/2023 11:15:28
1,19,7/9/2023 11:15:28
1,20,7/9/2023 11:15:28
4,21,7/9/2023 11:15:28
1,22,7/9/2023 11:15:28
4,23,7/9/2023 11:15:28
1,24,7/9/2023 11:15:28
4,25,7/9/2023 11:15:28
4,26,7/9/2023 11:15:28
4,27,7/9/2023 11:15:28
1,28,7/9/2023 11:15:28
1,29,7/9/2023 11:15:28
1,30,7/9/2023 11:15:28
1,31,7/9/2023 11:15:28
1,32,7/9/2023 11:15:28
1,33,7/9/2023 11:15:28
1,34,7/9/2023 11:15:28
1,35,7/9/2023 11:15:28
0,36,7/9/2023 11:15:28
0,37,7/9/2023 11:15:28
0,38,7/9/2023 11:15:28
1,39,7/9/2023 11:15:28
