estatus,id,Fecha
0,1,18/9/2023 13:22:20
0,2,18/9/2023 13:22:20
0,3,18/9/2023 13:22:20
0,4,18/9/2023 13:22:20
0,5,18/9/2023 13:22:20
1,6,18/9/2023 13:22:20
0,7,18/9/2023 13:22:20
1,8,18/9/2023 13:22:20
0,9,18/9/2023 13:22:20
0,10,18/9/2023 13:22:20
0,11,18/9/2023 13:22:20
4,12,18/9/2023 13:22:20
4,13,18/9/2023 13:22:20
4,14,18/9/2023 13:22:20
4,15,18/9/2023 13:22:20
4,16,18/9/2023 13:22:20
4,17,18/9/2023 13:22:20
4,18,18/9/2023 13:22:20
1,19,18/9/2023 13:22:20
1,20,18/9/2023 13:22:20
1,21,18/9/2023 13:22:20
1,22,18/9/2023 13:22:20
4,23,18/9/2023 13:22:20
1,24,18/9/2023 13:22:20
4,25,18/9/2023 13:22:20
4,26,18/9/2023 13:22:20
4,27,18/9/2023 13:22:20
1,28,18/9/2023 13:22:20
1,29,18/9/2023 13:22:20
1,30,18/9/2023 13:22:20
1,31,18/9/2023 13:22:20
1,32,18/9/2023 13:22:20
1,33,18/9/2023 13:22:20
1,34,18/9/2023 13:22:20
1,35,18/9/2023 13:22:20
0,36,18/9/2023 13:22:20
0,37,18/9/2023 13:22:20
0,38,18/9/2023 13:22:20
1,39,18/9/2023 13:22:20
