estatus,id,Fecha
1,1,6/9/2023 8:00:57
4,2,6/9/2023 8:00:57
1,3,6/9/2023 8:00:57
1,4,6/9/2023 8:00:57
1,5,6/9/2023 8:00:57
4,6,6/9/2023 8:00:57
1,7,6/9/2023 8:00:57
4,8,6/9/2023 8:00:57
1,9,6/9/2023 8:00:57
4,10,6/9/2023 8:00:57
1,11,6/9/2023 8:00:57
0,12,6/9/2023 8:00:57
0,13,6/9/2023 8:00:57
0,14,6/9/2023 8:00:57
1,15,6/9/2023 8:00:57
0,16,6/9/2023 8:00:57
0,17,6/9/2023 8:00:57
0,18,6/9/2023 8:00:57
1,19,6/9/2023 8:00:57
1,20,6/9/2023 8:00:57
4,21,6/9/2023 8:00:57
4,22,6/9/2023 8:00:57
4,23,6/9/2023 8:00:57
1,24,6/9/2023 8:00:57
4,25,6/9/2023 8:00:57
4,26,6/9/2023 8:00:57
4,27,6/9/2023 8:00:57
1,28,6/9/2023 8:00:57
4,29,6/9/2023 8:00:57
4,30,6/9/2023 8:00:57
4,31,6/9/2023 8:00:57
4,32,6/9/2023 8:00:57
1,33,6/9/2023 8:00:57
4,34,6/9/2023 8:00:57
1,35,6/9/2023 8:00:57
1,36,6/9/2023 8:00:57
4,37,6/9/2023 8:00:57
1,38,6/9/2023 8:00:57
4,39,6/9/2023 8:00:57
