estatus,id,Fecha
1,1,5/9/2023 18:30:20
4,2,5/9/2023 18:30:20
1,3,5/9/2023 18:30:20
1,4,5/9/2023 18:30:20
1,5,5/9/2023 18:30:20
4,6,5/9/2023 18:30:20
1,7,5/9/2023 18:30:20
4,8,5/9/2023 18:30:20
1,9,5/9/2023 18:30:20
4,10,5/9/2023 18:30:20
1,11,5/9/2023 18:30:20
0,12,5/9/2023 18:30:20
0,13,5/9/2023 18:30:20
0,14,5/9/2023 18:30:20
1,15,5/9/2023 18:30:20
0,16,5/9/2023 18:30:20
0,17,5/9/2023 18:30:20
0,18,5/9/2023 18:30:20
1,19,5/9/2023 18:30:20
1,20,5/9/2023 18:30:20
4,21,5/9/2023 18:30:20
4,22,5/9/2023 18:30:20
4,23,5/9/2023 18:30:20
1,24,5/9/2023 18:30:20
4,25,5/9/2023 18:30:20
4,26,5/9/2023 18:30:20
4,27,5/9/2023 18:30:20
1,28,5/9/2023 18:30:20
4,29,5/9/2023 18:30:20
4,30,5/9/2023 18:30:20
4,31,5/9/2023 18:30:20
4,32,5/9/2023 18:30:20
1,33,5/9/2023 18:30:20
4,34,5/9/2023 18:30:20
1,35,5/9/2023 18:30:20
1,36,5/9/2023 18:30:20
4,37,5/9/2023 18:30:20
1,38,5/9/2023 18:30:20
4,39,5/9/2023 18:30:20
