estatus,id,Fecha
0,1,5/12/2023 17:39:23
0,2,5/12/2023 17:39:23
0,3,5/12/2023 17:39:23
0,4,5/12/2023 17:39:23
0,5,5/12/2023 17:39:23
4,6,5/12/2023 17:39:23
0,7,5/12/2023 17:39:23
4,8,5/12/2023 17:39:23
0,9,5/12/2023 17:39:23
0,10,5/12/2023 17:39:23
0,11,5/12/2023 17:39:23
1,12,5/12/2023 17:39:23
1,13,5/12/2023 17:39:23
1,14,5/12/2023 17:39:23
1,15,5/12/2023 17:39:23
1,16,5/12/2023 17:39:23
1,17,5/12/2023 17:39:23
1,18,5/12/2023 17:39:23
1,19,5/12/2023 17:39:23
1,20,5/12/2023 17:39:23
4,21,5/12/2023 17:39:23
4,22,5/12/2023 17:39:23
4,23,5/12/2023 17:39:23
1,24,5/12/2023 17:39:23
4,25,5/12/2023 17:39:23
4,26,5/12/2023 17:39:23
4,27,5/12/2023 17:39:23
1,28,5/12/2023 17:39:23
4,29,5/12/2023 17:39:23
4,30,5/12/2023 17:39:23
4,31,5/12/2023 17:39:23
4,32,5/12/2023 17:39:23
1,33,5/12/2023 17:39:23
4,34,5/12/2023 17:39:23
1,35,5/12/2023 17:39:23
0,36,5/12/2023 17:39:23
0,37,5/12/2023 17:39:23
0,38,5/12/2023 17:39:23
4,39,5/12/2023 17:39:23
