estatus,id,Fechas
2,1,8/9/2023 8:00:44
1,2,8/9/2023 8:00:44
1,3,8/9/2023 8:00:44
2,4,8/9/2023 8:00:44
1,5,8/9/2023 8:00:44
2,6,8/9/2023 8:00:44
2,7,8/9/2023 8:00:44
0,8,8/9/2023 8:00:44
0,9,8/9/2023 8:00:44
0,10,8/9/2023 8:00:44
2,11,8/9/2023 8:00:44
0,12,8/9/2023 8:00:44
2,13,8/9/2023 8:00:44
0,14,8/9/2023 8:00:44
1,15,8/9/2023 8:00:44
1,16,8/9/2023 8:00:44
2,17,8/9/2023 8:00:44
1,18,8/9/2023 8:00:44
