estatus,id,Fechas
1,1,5/9/2023 17:30:19
1,2,5/9/2023 17:30:19
2,3,5/9/2023 17:30:19
0,4,5/9/2023 17:30:19
2,5,5/9/2023 17:30:19
1,6,5/9/2023 17:30:19
1,7,5/9/2023 17:30:19
1,8,5/9/2023 17:30:19
1,9,5/9/2023 17:30:19
0,10,5/9/2023 17:30:19
1,11,5/9/2023 17:30:19
0,12,5/9/2023 17:30:19
1,13,5/9/2023 17:30:19
0,14,5/9/2023 17:30:19
1,15,5/9/2023 17:30:19
0,16,5/9/2023 17:30:19
1,17,5/9/2023 17:30:19
1,18,5/9/2023 17:30:19
