estatus,id,Fecha
1,1,6/9/2023 9:00:45
1,2,6/9/2023 9:00:45
1,3,6/9/2023 9:00:45
1,4,6/9/2023 9:00:45
1,5,6/9/2023 9:00:45
1,6,6/9/2023 9:00:45
1,7,6/9/2023 9:00:45
1,8,6/9/2023 9:00:45
0,9,6/9/2023 9:00:45
0,10,6/9/2023 9:00:45
0,11,6/9/2023 9:00:45
0,12,6/9/2023 9:00:45
0,13,6/9/2023 9:00:45
0,14,6/9/2023 9:00:45
0,15,6/9/2023 9:00:45
0,16,6/9/2023 9:00:45
0,17,6/9/2023 9:00:45
1,18,6/9/2023 9:00:45
1,19,6/9/2023 9:00:45
1,20,6/9/2023 9:00:45
1,21,6/9/2023 9:00:45
0,22,6/9/2023 9:00:45
0,23,6/9/2023 9:00:45
0,24,6/9/2023 9:00:45
0,25,6/9/2023 9:00:45
0,26,6/9/2023 9:00:45
0,27,6/9/2023 9:00:45
0,28,6/9/2023 9:00:45
1,29,6/9/2023 9:00:45
1,30,6/9/2023 9:00:45
1,31,6/9/2023 9:00:45
1,32,6/9/2023 9:00:45
0,33,6/9/2023 9:00:45
0,34,6/9/2023 9:00:45
0,35,6/9/2023 9:00:45
0,36,6/9/2023 9:00:45
1,37,6/9/2023 9:00:45
1,38,6/9/2023 9:00:45
0,39,6/9/2023 9:00:45
1,40,6/9/2023 9:00:45
1,41,6/9/2023 9:00:45
1,42,6/9/2023 9:00:45
0,43,6/9/2023 9:00:45
1,44,6/9/2023 9:00:45
1,45,6/9/2023 9:00:45
1,46,6/9/2023 9:00:45
0,47,6/9/2023 9:00:45
1,48,6/9/2023 9:00:45
0,49,6/9/2023 9:00:45
0,50,6/9/2023 9:00:45
0,51,6/9/2023 9:00:45
1,52,6/9/2023 9:00:45
1,53,6/9/2023 9:00:45
1,54,6/9/2023 9:00:45
