estatus,id,Fecha
0,1,5/12/2023 17:39:23
0,2,5/12/2023 17:39:23
0,3,5/12/2023 17:39:23
0,4,5/12/2023 17:39:23
0,5,5/12/2023 17:39:23
0,6,5/12/2023 17:39:23
0,7,5/12/2023 17:39:23
1,8,5/12/2023 17:39:23
0,9,5/12/2023 17:39:23
0,10,5/12/2023 17:39:23
1,11,5/12/2023 17:39:23
1,12,5/12/2023 17:39:23
0,13,5/12/2023 17:39:23
0,14,5/12/2023 17:39:23
0,15,5/12/2023 17:39:23
0,16,5/12/2023 17:39:23
0,17,5/12/2023 17:39:23
1,18,5/12/2023 17:39:23
0,19,5/12/2023 17:39:23
0,20,5/12/2023 17:39:23
0,21,5/12/2023 17:39:23
1,22,5/12/2023 17:39:23
1,23,5/12/2023 17:39:23
1,24,5/12/2023 17:39:23
1,25,5/12/2023 17:39:23
1,26,5/12/2023 17:39:23
1,27,5/12/2023 17:39:23
1,28,5/12/2023 17:39:23
1,29,5/12/2023 17:39:23
1,30,5/12/2023 17:39:23
1,31,5/12/2023 17:39:23
1,32,5/12/2023 17:39:23
0,33,5/12/2023 17:39:23
0,34,5/12/2023 17:39:23
0,35,5/12/2023 17:39:23
0,36,5/12/2023 17:39:23
0,37,5/12/2023 17:39:23
0,38,5/12/2023 17:39:23
0,39,5/12/2023 17:39:23
0,40,5/12/2023 17:39:23
0,41,5/12/2023 17:39:23
0,42,5/12/2023 17:39:23
0,43,5/12/2023 17:39:23
0,44,5/12/2023 17:39:23
0,45,5/12/2023 17:39:23
0,46,5/12/2023 17:39:23
0,47,5/12/2023 17:39:23
0,48,5/12/2023 17:39:23
0,49,5/12/2023 17:39:23
0,50,5/12/2023 17:39:23
0,51,5/12/2023 17:39:23
0,52,5/12/2023 17:39:23
0,53,5/12/2023 17:39:23
0,54,5/12/2023 17:39:23
